,Alias,Software_Package,Identifier,Highlight,Citation,Bibcode,Alternate_Bibcode,BibGroup,Publisher,Article_ID,DOI,Pub_Year,Pub_Date,Author,Title
3713,DS9,SAOImage DS9,0,"This research has made use of SAOImage <em>DS9,</em> developed by the Smithsonian Astrophysical Observatory. This work",False,2007IAUS..238..255W,2006astro.ph.11437W|2006IAUS..238E..57W,Chandra,Black Holes from Stars to Galaxies -- Across the Range of Masses,2006astro.ph.11437W|2006IAUS..238E..57W|2007IAUS..238..255W|10.1017/S174392130700508X|2006astro.ph.11437W|10.1017/S174392130700508X|2006IAUS..238E..57W|arXiv:astro-ph/0611437,10.1017/S174392130700508X,2007,2007-04-00,"Wolter, Anna",Variability of ultraluminous X-ray sources in the Cartwheel Ring
3714,DS9,SAOImage DS9,0,has been opened with William Joye regarding implementation of <em>DS9</em> compatibility with LOFAR Sky Image Cubes. 2.,False,2011ASPC..442...53A,2011adass..20...53A|2010arXiv1012.2266A,,Astronomical Data Analysis Software and Systems XX,2011adass..20...53A|2010arXiv1012.2266A|2011ASPC..442...53A|2011adass..20...53A|2010arXiv1012.2266A|arXiv:1012.2266,,2011,2011-07-00,"Anderson, K.",LOFAR and HDF5: Toward a New Radio Data Standard
3715,DS9,SAOImage DS9,0,"is a footprint that includes the pixel values. 300 Jenness et al. Device independent displays. <em>DS9</em> (Joye 2011,",True,2017ASPC..512..297J,2017adass..25..297J|2015arXiv151106790J|2018ASPC..512..297J,,Astronomical Data Analysis Software and Systems XXV,2017adass..25..297J|2015arXiv151106790J|2018ASPC..512..297J|2017ASPC..512..297J|2017adass..25..297J|2015arXiv151106790J|arXiv:1511.06790|2018ASPC..512..297J,,2017,2017-12-00,"Jenness, T.",The LSST Data Processing Software Stack: Summer 2015 Release
3716,DS9,SAOImage DS9,0,and catalogs. 5. SAOImage <em>DS9</em> (Joye &amp; Mandel 2003) — probably the most frequently used desktop FITS,True,2011ASPC..442..471C,2011adass..20..471C|2010arXiv1012.4119C,,Astronomical Data Analysis Software and Systems XX,2011adass..20..471C|2010arXiv1012.4119C|2011ASPC..442..471C|2011adass..20..471C|2010arXiv1012.4119C|arXiv:1012.4119,,2011,2011-07-00,"Chilingarian, I.",The True Bottleneck of Modern Scientific Computing in Astronomy
3717,DS9,SAOImage DS9,0,"2005 DS4 200 100 0 500 60 400 300 70 80 DS6 2006 90 100 110 120 <em>DS9</em> DS7 DS8 200 DS14 DS15:00 10:20 0.89 35:30 0.68 45:00 DS2 DS3 DS4 DS5 DS6 DS7 DS8 <em>DS9</em> DS10 DS11 DS13 DS14 DS15 DS16 DS17 Ångström RI (n(λ)) RI (k(λ)) (×10−3 ) DS1 DS2 DS3 DS4 DS5 DS6 DS7 DS8 <em>DS9</em> DS10 DS11 DS13 DS14 DS15 DS16 AERONET for DS4, DS8, <em>DS9,</em> DS18 are not available. exponent (å 1123 Figure 10: Timedata series of daily",True,2009ACP.....9.6915W,,,Atmospheric Chemistry & Physics,2009ACP.....9.6915W,,2009,2009-09-00,"Wu, Z. J.","Dust events in Beijing, China (2004-2006): comparison of ground-based measurements with columnar integrated observations"
3718,DS9,SAOImage DS9,0,"1 2 3 ACPD 3 8, 18893–18910, 2008 2 2 <em>DS9</em> 1 DS7 1 DS8 DS6 DS1 Latitude 0 0 DS5 DS3 DS2 cells in dust (DS 1 to <em>DS9)</em> and dust free condition (DF1 to DF5). The relationship",True,2008ACPD....818893M,,,Atmospheric Chemistry & Physics Discussions,2008ACPD....818893M,,2008,2008-11-00,"Min, Q. -L.",Evidence of mineral dust altering cloud microphysics and precipitation
3719,DS9,SAOImage DS9,0,"measurements of a NICER XRC x-ray image are compared. A two-dimensional histogram was created in SAOImage <em>DS9</em> W. Joye and E. Mandel, “New features of SAOImage <em>DS9</em>,” in Astronomical Data Analysis Software",False,2016JATIS...2a5001B,,,"Journal of Astronomical Telescopes, Instruments, and Systems",2016JATIS...2a5001B|10.1117/1.JATIS.2.1.015001|10.1117/1.JATIS.2.1.015001,10.1117/1.JATIS.2.1.015001,2016,2016-01-00,"Balsamo, Erin",Shrink tape technique for heat-forming aluminum substrates for thin foil x-ray mirrors and the Neutron Star Interior Composition Explorer x-ray concentrators
3720,DS9,SAOImage DS9,0,"are set, data is interactively displayed via the SAO <em>DS9</em> utility.[8] The detailed display allows [8] “SAOImage <em>DS9”.</em> Retrieved May 28,2014 from http:&#x2F;&#x2F;ds9.si.edu&#x2F;site&#x2F;Home.html. [9] Kirk, D., Hwu,",False,2014SPIE.9152E..1JB,,,Software and Cyberinfrastructure for Astronomy III,2014SPIE.9152E..1JB|10.1117/12.2057122|10.1117/12.2057122,10.1117/12.2057122,2014,2014-07-00,"Beard, Andrew",DKIST visible broadband imager data processing pipeline
3721,DS9,SAOImage DS9,0,-4 -3 -2 -1 0 1 2 3 2 3 2 <em>DS9</em> 1 DS7 1 DS8 DS6 Latitude DS1 0 0 DS5 DS3 DS2 DS4 -1 to <em>DS9)</em> and dust free condition (DF1 to DF5). The relationship between the stratiform rain,True,2009ACP.....9.3223M,,,Atmospheric Chemistry & Physics,2009ACP.....9.3223M,,2009,2009-05-00,"Min, Q. -L.",Evidence of mineral dust altering cloud microphysics and precipitation
3722,DS9,SAOImage DS9,0,The combined short and long images in each filter pair were then blinked using <em>DS9</em> to identify features common found the center of each arc by fitting an ellipse to the positions of the knots in <em>DS9.</em> We experimented,False,2010AJ....140..339T,2010arXiv1006.0501T,HST,The Astronomical Journal,2010arXiv1006.0501T|2010AJ....140..339T|10.1088/0004-6256/140/2/339|2010arXiv1006.0501T|arXiv:1006.0501|10.1088/0004-6256/140/2/339,10.1088/0004-6256/140/2/339,2010,2010-08-00,"Tiffany, Chelsea",The Morphology of IRC+10420's Circumstellar Ejecta
3723,DS9,SAOImage DS9,0,#x02010;based program with Tcl&#x2F;Tk user interface with a shared memory link to the SAOImage <em>DS9</em> display program controls with the <em>DS9</em> display program. An example of a TRIDENT image is shown in Figure 4. Images can be downloaded,False,2005PASP..117..745M,2005astro.ph..4652M,,Publications of the Astronomical Society of the Pacific,2005astro.ph..4652M|2005PASP..117..745M|10.1086/431347|arXiv:astro-ph/0504652|2005astro.ph..4652M|10.1086/431347,10.1086/431347,2005,2005-07-00,"Marois, Christian",TRIDENT: An Infrared Differential Imaging Camera Optimized for the Detection of Methanated Substellar Companions
3724,DS9,SAOImage DS9,0,"<em>(DS9)</em> and projection region selection, we can quickly plot the light curve from any individual pixel, A Number of Occuronces , , I , , &#x27; Figure 7. <em>DS9</em> plot of the light curve of one pixel illuminated",True,2014SPIE.9143E..1QK,,CfA,"Space Telescopes and Instrumentation 2014: Optical, Infrared, and Millimeter Wave",2014SPIE.9143E..1QK|10.1117/12.2054954|10.1117/12.2054954,10.1117/12.2054954,2014,2014-08-00,"Kraft, Ralph P.",Construction of a photometer to detect stellar occultations by outer solar system bodies for the Whipple mission concept
3725,DS9,SAOImage DS9,0,-4 FHT16-1 FHT16-3 FHT20-5 FHT20-13 <em>DS9</em>-4 <em>DS9</em>-19 SiO 2 50.50 50.64 49.77 48.76 51.76 53.64 50,False,2003Litho..70..345W,,,Lithos,10.1016/S0024-4937(03)00105-1|2003Litho..70..345W|10.1016/S0024-4937(03)00105-1,10.1016/S0024-4937(03)00105-1,2003,2003-10-00,"Wang, Qingchen","Eclogites preserved as pebbles in Jurassic conglomerate, Dabie Mountains, China"
3726,DS9,SAOImage DS9,0,", IDS11 References: NASA ADS12 <em>DS9</em> image analysis software: SAO13 Digitized Sky Surveys: ESO13 Radial operated at CDS, Strasbourg, France. The SAO Image reduction software, <em>DS9,</em> developed by Smithsonian",False,2007ASPC..364..237D,,,"The Future of Photometric, Spectrophotometric and Polarimetric Standardization",2007ASPC..364..237D,,2007,2007-04-00,"Dodd, R. J.",Unified Absolute Spectrophotometry for Star Clusters
3727,DS9,SAOImage DS9,0,"The Caliban computer will be configured with IRAF, VISTA, and <em>DS9</em> for image viewing and processing. and <em>DS9</em> will be loaded on the Guide Computer for image display, zoom, stellar radial profile and contour",False,2012SPIE.8446E..6GA,,,Ground-based and Airborne Instrumentation for Astronomy IV,2012SPIE.8446E..6GA|10.1117/12.925383|10.1117/12.925383,10.1117/12.925383,2012,2012-09-00,"Atwood, Bruce",Design of the KMTNet large format CCD camera
